dish1,dish2,count
jamaican chicken melt,salted fries,12
bone in jamaican grilled chicken,grilled chicken jamaican tangdi,12
bone in peri peri grilled chicken,fried chicken classic tender,12
fried chicken angara tender,garlic aioli,12
masala potato pide,spinach sumac pide,12
bellpepper onion pizza,murgh amritsari seekh pizza,12
bone in smoky bbq grilled chicken,garlic aioli,12
bellpepper onion pizza,masala paneer pide,12
fried chicken angara tender,grilled chicken smoky bbq tender,12
onion rings,salted crisper fries,12
fried chicken strips,just pepperoni pizza,12
just pepperoni pizza,murgh amritsari seekh melt,12
bone in angara grilled chicken,grilled chicken peri peri tender,12
just pepperoni pizza,mutton seekh pizza,12
chilli cheese garlic bread,murgh amritsari seekh melt,12
garlic aioli,jamaican chicken melt,12
garlic aioli,onion rings,12
all about chicken pizza,salted fries,12
herbed potato,og cheese pide,11
aac signature fries,grilled chicken smoky bbq tender,11
bellpepper onion pizza,og cheese pide,11
cheesy garlic bread,murgh amritsari seekh pide,11
masala paneer pide,onion rings,11
jamaican chicken melt,salted crisper fries,11
bellpepper onion pizza,onion rings,11
indian masala fries,peri peri fries,11
indian masala cripser fries,masala paneer pide,11
aac signature crisper fries,bone in jamaican grilled chicken,11
grilled chicken jamaican tender,salted fries,11
animal fries,grilled chicken angara tangdi,11
angara paneer melt,peri peri paneer melt,11
fried chicken tenders,grilled chicken tangdi,11
herbed potato,tipsy tiger fresh lime soda,11
cheesy garlic bread,salted fries,11
fried chicken ghostbuster tender,fried chicken kabuli tender,11
angara paneer melt,onion rings,11
cheesy garlic bread,spinach sumac pide,11
grilled chicken angara tangdi,grilled chicken jamaican tender,11
peri peri grilled chicken pizza,tripple cheese pizza,11
fried chicken beast aac burger,fried chicken peri peri tender,11
fried chicken strips,murgh amritsari seekh pizza,11
fried chicken classic tender,fried chicken kabuli tender,11
murgh amritsari garlic bread,murgh amritsari seekh melt,11
fried chicken classic tender,fried chicken ghostbuster tender,11
garlic aioli,indian masala cripser fries,11
bone in angara grilled chicken,fried chicken classic tender,11
aac special slaw,bone in peri peri grilled chicken,11
just pepperoni pizza,peri peri crisper fries,11
bone in kabuli grilled chicken,garlic aioli,11
bone in smoky bbq grilled chicken,fried chicken angara tender,11
animal fries,garlic aioli,11
og cheese pide,tripple cheese pizza,11
garlic aioli,margherita pizza,11
margherita pizza,pepperoni garlic bread,11
mushroom mozzarella melt,spinach sumac pide,11
chicken pepperoni pizza,chilli cheese garlic bread,11
aac signature fries,bone in smoky bbq grilled chicken,11
bone in jamaican grilled chicken,fried chicken peri peri tenders + peri peri fries,11
desi pepperoni pizza,mutton seekh pizza,11
jamaican chicken melt,mushroom pizza,11
chicken pepperoni pizza,murgh amritsari seekh melt,11
bone in kabuli grilled chicken,fried chicken classic tender,11
fried chicken beast aac burger,fried chicken ghostbuster tender,10
masala paneer pide,mutton seekh pide,10
cheesy garlic bread,og cheese pide,10
aac saucy fries,bone in jamaican grilled chicken,10
masala paneer pide,tripple cheese pizza,10
aac saucy fries,fried chicken peri peri tender,10
murgh amritsari garlic bread,onion rings,10
fried chicken classic tender,onion rings,10
angara paneer melt,fried chicken strips,10
bageecha pizza,fried chicken tenders,10
cheesy garlic bread,indian masala fries,10
aac saucy fries,fried chicken angara tender,10
chicken pepperoni pizza,mushroom pizza,10
masala potato pide,peri peri chicken melt,10
fried chicken peri peri tender,grilled chicken angara tangdi,10
fried chicken classic tender,grilled chicken peri peri tender,10
chilli cheese garlic bread,desi pepperoni pizza,10
fried chicken peri peri tender,onion rings,10
fried chicken peri peri tender,grilled chicken smoky bbq tangdi,10
murgh amritsari seekh pizza,mushroom mozzarella melt,10
fried chicken peri peri tender,salted fries,10
murgh amritsari seekh pizza,mutton seekh pizza,10
makhani paneer pizza,peanut butter chocolate pide,10
malai gud pide,margherita pizza,10
malai gud pide,spinach sumac pide,10
garlic aioli,indian pico de-gallo,10
makhani paneer pizza,masala potato pide,10
margherita pizza,peri peri chicken melt,10
murgh amritsari seekh pizza,og cheese pide,10
bageecha pizza,indian salsa,10
murgh amritsari seekh pide,peri peri crisper fries,10
peri peri paneer pizza,tipsy tiger fresh lime soda,10
tipsy tiger fresh lime soda,tripple cheese pizza,10
just pepperoni pizza,peri peri paneer pizza,10
fried chicken kabuli tender,grilled chicken angara tender,10
all about chicken pizza,og cheese pide,10
herbed potato,indian masala cripser fries,10
fried chicken peri peri tender,garlic aioli,10
mushroom pizza,peri peri crisper fries,10
grilled chicken jamaican tender,herbed potato,10
fried chicken ghostbuster tender,ghostbuster sauce,10
angara sauce,fried chicken angara tender,10
mutton seekh pide,og cheese pide,10
angara rice,bone in kabuli grilled chicken,10
fried chicken angara tender,salted fries,10
animal fries,herbed potato,10
bone in peri peri grilled chicken,grilled chicken peri peri tangdi,10
animal fries,onion rings,10
animal fries,grilled chicken jamaican tangdi,10
animal fries,jamaican sauce,10
desi chicken pepperoni pizza,peri peri grilled chicken pizza,10
grilled chicken jamaican tender,peri peri crisper fries,10
bone in peri peri grilled chicken,garlic aioli,10
aac signature fries,grilled chicken jamaican tender,10
onion rings,peri peri paneer pizza,10
indian masala cripser fries,tripple cheese pizza,10
bone in smoky bbq grilled chicken,grilled chicken jamaican tangdi,10
jamaican chicken melt,tipsy tiger fresh lime soda,10
angara rice,animal fries,10
masala omelette pide,murgh amritsari seekh pide,10
aac grilled chicken burger,fried chicken angara tender,10
mushroom mozzarella melt,onion rings,10
pepperoni garlic bread,peri peri grilled chicken pizza,10
onion rings,peri peri fries,10
mushroom mozzarella melt,peri peri fries,10
bone in jamaican grilled chicken,fried chicken kabuli tender,10
bone in jamaican grilled chicken,jamaican sauce,10
just pepperoni pide,spinach sumac pide,10
bone in peri peri grilled chicken,grilled chicken angara tender,10
bone in jamaican grilled chicken,fried chicken beast aac burger,10
bone in angara grilled chicken,fried chicken kabuli tender,10
chicken pepperoni pizza,makhani paneer pizza,9
bone in smoky bbq grilled chicken,peri peri crisper fries,9
garlic aioli,salted fries,9
indian masala cripser fries,onion rings,9
chicken pepperoni pizza,peri peri paneer pizza,9
grilled tangdis,peri peri grilled chicken pizza,9
bone in smoky bbq grilled chicken,fried chicken kabuli tender,9
indian masala cripser fries,murgh amritsari seekh melt,9
onion rings,tipsy tiger fresh lime soda,9
bone in smoky bbq grilled chicken,fried chicken ghostbuster tender,9
bone in smoky bbq grilled chicken,fried chicken beast aac burger,9
chicken pepperoni pizza,herbed potato,9
margherita pizza,salted fries,9
indian masala fries,just pepperoni pizza,9
garlic aioli,og cheese pide,9
bone in kabuli grilled chicken,fried chicken kabuli tender,9
garlic aioli,harissa mayo,9
malai gud pide,murgh amritsari garlic bread,9
garlic aioli,mayonnaise,9
bageecha pizza,iced green tea - peach,9
angara sauce,fried chicken peri peri tender,9
fried chicken beast aac burger,fried chicken classic tender,9
bone in angara grilled chicken,fried chicken angara tender,9
murgh amritsari seekh melt,peri peri paneer melt,9
masala potato pide,mushroom mozzarella melt,9
bacon pepperoni melt,murgh amritsari seekh pizza,9
bone in kabuli grilled chicken,grilled chicken angara tender,9
indian masala fries,jamaican chicken melt,9
aac signature fries,garlic aioli,9
bageecha pizza,indian pico de-gallo,9
bageecha pizza,brocolli onion pizza,9
fried chicken peri peri tender,peri peri fries,9
aac signature fries,fried chicken classic tender,9
