dish1,dish2,count
fried chicken kabuli tender,salted crisper fries,4
cheesy garlic bread,harissa mayo,4
cheesy garlic bread,grilled chicken tangdi,4
cheesy garlic bread,loaded korean grilled chicken pizza,4
bone in jamaican grilled chicken quarter + angara rice,fried chicken peri peri tenders + peri peri fries,4
bone in jamaican grilled chicken quarter + angara rice,fried chicken angara tender,4
grilled chicken peri peri tangdi,grilled chicken smoky bbq tangdi,4
desi chicken pepperoni pizza,murgh amritsari garlic bread,4
fried chicken kabuli tender,grilled chicken jamaican tangdi,4
fried chicken kabuli tender,peri peri fries,4
desi chicken pepperoni pizza,mushroom pizza,4
murgh amritsari seekh pizza,salted crisper fries,4
fried chicken tenders,tipsy tiger fresh lime soda,4
desi chicken pepperoni pizza,grilled tangdis,4
fried chicken tenders,harissa mayo,4
fried chicken tenders,pepperoni garlic bread,4
angara rice,herbed potato,4
peanut butter chocolate pide,peri peri grilled chicken pizza,4
fried chicken tenders,loaded jamaican grilled chicken pizza,4
desi chicken pepperoni pizza,pepperoni garlic bread,4
bone in jamaican grilled chicken quarter + angara rice,grilled chicken jamaican tender,4
animal fries,india dynamite sauce,4
aac grilled chicken burger,salted crisper fries,4
bone in jamaican grilled chicken,harisa mayo,4
harisa mayo,mayonnaise,4
fried chicken strips,spinach sumac pide,4
harisa mayo,onion rings,4
fried chicken strips,peri peri chicken melt,4
bone in jamaican grilled chicken,india dynamite sauce,4
grilled chicken angara tangdi,onion rings,4
aac grilled chicken burger,fried chicken ghostbuster tender,4
aac grilled chicken burger,grilled chicken jamaican tangdi,4
cheesy garlic bread,mayonnaise,4
bone in jamaican grilled chicken,coleslaw,4
cheesy garlic bread,mutton seekh pide,4
cafreal sauce,cheesy garlic bread,4
ghostbuster sauce,jamaican sauce,4
cheesy garlic bread,iced green tea - mojito,4
grilled chicken jamaican tangdi,onion rings,4
murgh amritsari seekh melt,spinach sumac pide,4
cafreal sauce,grilled tangdis,4
peanut butter chocolate pide,tipsy tiger fresh lime soda,4
murgh amritsari seekh pide,mutton seekh pizza,4
iced green tea - peach,margherita pizza,4
chicken pepperoni pizza,mutton seekh pide,4
grilled chicken tangdi,just pepperoni pizza,4
bacon pepperoni melt,bageecha pizza,4
grilled chicken jamaican boneless breast,grilled chicken peri peri boneless breast,4
chicken pepperoni pizza,mutton seekh pizza,4
bacon pepperoni melt,makhani paneer pizza,4
bacon pepperoni melt,malai gud pide,4
chicken pepperoni pizza,peri peri chicken melt,4
chicken pepperoni pizza,grilled chicken tangdi,4
bacon pepperoni melt,desi chicken pepperoni pizza,4
iced green tea - peach,tipsy tiger ginger ale,4
bacon pepperoni melt,herbed potato,4
bone in kabuli grilled chicken,fried chicken peri peri tenders + peri peri fries,4
tipsy tiger ginger ale,tripple cheese pizza,4
bone in kabuli grilled chicken,onion bombs,4
bone in kabuli grilled chicken,grilled chicken peri peri tangdi,4
animal fries,kabuli grilled paneer (8 pcs),4
bone in kabuli grilled chicken,grilled chicken smoky bbq tangdi,4
animal fries,iced green tea - peach,4
indian masala fries,peri peri paneer pizza,4
grilled chicken smoky bbq tangdi,grilled chicken smoky bbq tender,4
aac special slaw,grilled chicken jamaican tender,4
grilled chicken smoky bbq tangdi,salted fries,4
iced green tea - peach,peri peri crisper fries,4
bone in smoky bbq grilled chicken,fried chicken peri peri tenders + peri peri fries,4
murgh amritsari seekh melt,tipsy tiger ginger ale,4
peri peri paneer melt,tipsy tiger fresh lime soda,4
mutton seekh pizza,peri peri paneer pizza,4
murgh amritsari seekh melt,peanut butter chocolate pide,4
bone in smoky bbq grilled chicken,grilled chicken angara tender,4
aac special slaw,grilled chicken peri peri tender,4
aac special slaw,grilled chicken smoky bbq tender,4
garlic aioli,murgh amritsari seekh pide,4
indian masala fries,peri peri crisper fries,4
atomic veg burger,dirty indian masala fries,4
grilled chicken ghostbuster tangdi,grilled chicken jamaican tender,4
bone in smoky bbq grilled chicken,onion rings,4
bone in smoky bbq grilled chicken,smoky bbq sauce,4
chicken pepperoni pizza,peri peri fries,4
bacon pepperoni melt,mutton seekh pizza,4
masala paneer pide,salted fries,3
masala paneer pide,murgh amritsari seekh melt,3
murgh amritsari seekh melt,salted crisper fries,3
murgh amritsari seekh pizza,peanut butter chocolate pide,3
masala paneer pide,peri peri grilled chicken pizza,3
cafreal sauce,makhani paneer pizza,3
desi chicken pepperoni pizza,tipsy tiger ginger ale,3
cafreal sauce,murgh amritsari garlic bread,3
cafreal sauce,murgh amritsari seekh pizza,3
cafreal sauce,harisa mayo,3
cafreal sauce,margherita pizza,3
cafreal sauce,chilli cheese garlic bread,3
angara boneless grilled chicken breast,grlld masala fries,3
desi chicken pepperoni pizza,onion rings,3
angara boneless grilled chicken breast,grlld vegetables,3
malvani boneless grilled chicken breast,salted fries,3
aac grilled chicken burger,tipsy tiger ginger ale,3
aac grilled chicken burger,grilled chicken peri peri tender,3
aac grilled chicken burger,grilled chicken angara tangdi,3
aac grilled chicken burger,peri peri crisper fries,3
desi chicken pepperoni pizza,mushroom mozzarella melt,3
desi chicken pepperoni pizza,mutton seekh pizza,3
dirty grilled paneer burger,peri peri fries,3
bacon pepperoni melt,just pepperoni pide,3
iced green tea - mojito,peri peri crisper fries,3
bacon pepperoni melt,fried chicken strips,3
bacon pepperoni melt,salted crisper fries,3
bacon pepperoni melt,indian masala cripser fries,3
bacon pepperoni melt,garlic aioli,3
bacon pepperoni melt,pepperoni garlic bread,3
bacon pepperoni melt,chicken pepperoni pizza,3
peanut butter chocolate pide,pepperoni garlic bread,3
bacon pepperoni melt,fried chicken tenders,3
mutton seekh pizza,spinach sumac pide,3
mutton seekh pizza,peri peri crisper fries,3
mutton seekh pizza,tripple cheese pizza,3
mutton seekh pizza,onion rings,3
peanut butter chocolate pide,tipsy tiger ginger ale,3
aac grilled chicken burger,aac signature fries,3
peri peri sauce,smoky bbq sauce,3
pepperoni garlic bread,tipsy tiger fresh lime soda,3
aac fried paneer burger,fried chicken angara tender,3
indian masala cripser fries,malai gud pide,3
crushed papad,margherita pizza,3
crushed papad,murgh amritsari seekh pizza,3
crushed papad,fried chicken strips,3
mayonnaise,peri peri paneer pizza,3
aac fried paneer burger,angara grilled paneer (8 pcs),3
brocolli onion pizza,masala paneer pide,3
indian masala cripser fries,mushroom pizza,3
brocolli onion pizza,tripple cheese pizza,3
aac fried paneer burger,indian pico de-gallo,3
onion rings,raw masala lemon shikanji,3
onion rings,peri peri chicken melt,3
aac grilled paneer burger,animal fries,3
aac grilled paneer burger,aac saucy fries,3
indian masala cripser fries,mayonnaise,3
indian masala cripser fries,masala potato pide,3
aac signature crisper fries,fried chicken ghostbuster tender,3
aac signature crisper fries,grilled chicken ghostbuster tangdi,3
aac signature crisper fries,aac signature fries,3
aac signature crisper fries,peri peri fries,3
aac signature crisper fries,fried chicken peri peri tender,3
aac signature crisper fries,onion bombs,3
aac signature crisper fries,grilled chicken angara tangdi,3
angara sauce,grilled chicken peri peri tender,3
angara sauce,peri peri crisper fries,3
indian masala cripser fries,indian pico de-gallo,3
angara sauce,fried chicken kabuli tender,3
peri peri crisper fries,salted fries,3
indian masala cripser fries,peri peri grilled chicken pizza,3
indian masala cripser fries,pepperoni garlic bread,3
indian masala cripser fries,raw masala lemon shikanji,3
indian masala cripser fries,peanut butter chocolate pide,3
mutton seekh pide,onion rings,3
mushroom mozzarella melt,pepperoni garlic bread,3
masala paneer pide,mutton seekh pizza,3
chicken pepperoni pizza,og cheese pide,3
peri peri paneer melt,peri peri paneer pizza,3
murgh amritsari garlic bread,mushroom mozzarella melt,3
murgh amritsari garlic bread,spinach sumac pide,3
murgh amritsari garlic bread,tipsy tiger ginger ale,3
murgh amritsari garlic bread,og cheese pide,3
raw masala lemon shikanji,tripple cheese pizza,3
chicken pepperoni pizza,desi chicken pepperoni pizza,3
iced green tea - peach,jamaican chicken melt,3
chicken pepperoni pizza,salted crisper fries,3
chicken pepperoni pizza,pepperoni garlic bread,3
chicken pepperoni pizza,peri peri crisper fries,3
margherita pizza,mutton seekh pizza,3
og cheese pide,peanut butter chocolate pide,3
masala potato pide,murgh amritsari garlic bread,3
peri peri paneer melt,spinach sumac pide,3
iced green tea - peach,tipsy tiger fresh lime soda,3
masala potato pide,og cheese pide,3
cheesy garlic bread,indian pico de-gallo,3
makhani paneer pizza,masala omelette pide,3
fried chicken strips,tipsy tiger fresh lime soda,3
fried chicken strips,just pepperoni pide,3
fried chicken strips,masala paneer pide,3
fried chicken strips,makhani paneer pizza,3
dirty saucy chicken loaded fries,korean fried chicken burger,3
cheesy garlic bread,mutton seekh pizza,3
murgh amritsari seekh pide,peri peri fries,3
cheesy garlic bread,raw masala lemon shikanji,3
cheesy garlic bread,loaded pork pepperoni pizza,3
murgh amritsari seekh pizza,tipsy tiger ginger ale,3
murgh amritsari seekh pide,tipsy tiger ginger ale,3
murgh amritsari seekh pide,tipsy tiger fresh lime soda,3
murgh amritsari seekh pide,mushroom pizza,3
masala potato pide,murgh amritsari seekh pizza,3
peri peri chicken melt,peri peri grilled chicken pizza,3
mushroom mozzarella melt,mutton seekh pizza,3
bellpepper onion pizza,murgh amritsari seekh pide,3
bellpepper onion pizza,fried chicken strips,3
bellpepper onion pizza,mutton seekh pizza,3
bellpepper onion pizza,indian masala cripser fries,3
bellpepper onion pizza,murgh amritsari garlic bread,3
bellpepper onion pizza,peri peri paneer melt,3
animal fries ,bone in smoky bbq grilled chicken,3
angara paneer melt,chicken pepperoni pizza,3
malai gud pide,tipsy tiger fresh lime soda,3
angara paneer melt,bacon pepperoni melt,3
angara paneer melt,mayonnaise,3
just pepperoni pide,malai gud pide,3
just pepperoni pide,mushroom mozzarella melt,3
just pepperoni pide,mutton seekh pizza,3
mushroom mozzarella melt,tipsy tiger ginger ale,3
bellpepper onion pizza,iced green tea - peach,3
malai gud pide,peri peri paneer melt,3
peri peri chicken melt,tipsy tiger fresh lime soda,3
grilled tangdis,peri peri paneer pizza,3
peri peri chicken melt,peri peri paneer pizza,3
just pepperoni pizza,salted fries,3
just pepperoni pizza,peanut butter chocolate pide,3
just pepperoni pizza,salted crisper fries,3
peri peri grilled chicken pizza,salted crisper fries,3
peri peri grilled chicken pizza,spinach sumac pide,3
grilled tangdis,mushroom mozzarella melt,3
malai gud pide,masala potato pide,3
bone in jamaican grilled chicken ,peri peri fries ,3
desi pepperoni pizza,peri peri crisper fries,3
desi pepperoni pizza,peri peri chicken melt,3
desi pepperoni pizza,murgh amritsari seekh pide,3
malai gud pide,peri peri fries,3
malai gud pide,murgh amritsari seekh pide,3
jamaican chicken melt,loaded pork pepperoni pizza,3
all about chicken pizza,cafreal sauce,3
jamaican chicken melt,peri peri paneer melt,3
garlic aioli,indian honey mustard sauce,3
garlic aioli,grilled chicken jamaican tangdi,3
garlic aioli,grilled chicken peri peri tender,3
garlic aioli,grilled chicken smoky bbq tender,3
angara grilled paneer (8 pcs),bone in kabuli grilled chicken,3
fried chicken beast aac burger,fried chicken peri peri tenders + peri peri fries,3
fried chicken beast aac burger,peri peri crisper fries,3
fried chicken classic tender,ghostbuster sauce,3
fried chicken classic tender,grilled chicken peri peri tangdi,3
fried chicken beast aac burger,herbed potato,3
angara grilled paneer (8 pcs),kabuli grilled paneer (8 pcs),3
angara grilled paneer (8 pcs),angara rice,3
aac saucy fries,peri peri fries,3
aac saucy fries,onion rings,3
fried chicken beast aac burger,grilled chicken smoky bbq tender,3
angara grilled paneer (8 pcs),fried chicken ghostbuster tender,3
garlic aioli,india dynamite sauce,3
garlic aioli,smoky bbq sauce,3
bone in kabuli grilled chicken,jamaican sauce,3
garlic aioli,peri peri paneer pizza,3
fried chicken ghostbuster tender,jamaican sauce,3
fried chicken peri peri tender,raw masala lemon shikanji,3
fried chicken peri peri tender,herbed potato,3
fried chicken peri peri tender,harissa mayo,3
fried chicken peri peri tender,indian salsa,3
fried chicken peri peri tender,peri peri sauce,3
indian pico de-gallo,murgh amritsari seekh pizza,3
indian pico de-gallo,makhani paneer pizza,3
indian salsa,tripple cheese pizza,3
indian pico de-gallo,peri peri crisper fries,3
indian salsa,peri peri paneer pizza,3
indian salsa,peri peri fries,3
garlic aioli,tipsy tiger fresh lime soda,3
angara grilled paneer (8 pcs),fried chicken kabuli tender,3
garlic aioli,just pepperoni pide,3
bone in kabuli grilled chicken,harisa mayo,3
bone in kabuli grilled chicken,salted fries,3
peri peri fries,raw masala lemon shikanji,3
fried chicken tenders,mushroom mozzarella melt,3
fried chicken tenders,indian masala fries,3
fried chicken tenders,peri peri grilled chicken pizza,3
fried chicken tenders,mushroom pizza,3
fried chicken kabuli tender,grilled chicken angara tangdi,3
fried chicken kabuli tender,smoky bbq sauce,3
fried chicken kabuli tender,grilled chicken smoky bbq tender,3
fried chicken tenders,malai gud pide,3
fried chicken tenders,peanut butter chocolate pide,3
fried chicken tenders,salted crisper fries,3
bone in jamaican grilled chicken quarter + angara rice,onion bombs,3
bone in jamaican grilled chicken quarter + angara rice,grilled chicken angara tenders + salted fries,3
bone in jamaican grilled chicken quarter + angara rice,bone in kabuli grilled chicken,3
bone in jamaican grilled chicken quarter + angara rice,fried chicken classic tenders + aac signature fries,3
bone in jamaican grilled chicken quarter + angara rice,grilled chicken peri peri tender,3
bone in jamaican grilled chicken quarter + angara rice,bone in peri peri grilled chicken,3
cafreal dip,fried chicken ghostbuster tender,3
india dynamite sauce,jamaican sauce,3
bone in kabuli grilled chicken,onion rings,3
fried chicken tenders,makhani paneer pizza,3
grilled chicken dirty burger,peri peri fries,3
grilled chicken peri peri boneless breast,grilled chicken smoky bbq boneless breast,3
fried chicken angara tender,ghostbuster sauce,3
grilled chicken smoky bbq tangdi,tipsy tiger fresh lime soda,3
fried chicken angara tender,jamaican sauce,3
fried chicken angara tender,india dynamite sauce,3
grilled chicken ghostbuster tangdi,grilled chicken smoky bbq tender,3
aac special slaw,fried chicken peri peri tender,3
aac special slaw,bone in kabuli grilled chicken,3
aac special slaw,fried chicken classic tender,3
aac special slaw,fried chicken angara tender,3
aac special slaw,grilled chicken jamaican tangdi,3
grilled chicken angara tender,peri peri crisper fries,3
grilled chicken angara tender,tipsy tiger fresh lime soda,3
grilled chicken angara tender,india dynamite sauce,3
fried chicken peri peri tender,grilled chicken ghostbuster tangdi,3
fried chicken ghostbuster tender,onion bombs,3
fried chicken ghostbuster tender,tipsy tiger fresh lime soda,3
bone in jamaican grilled chicken,grilled chicken smoky bbq boneless breast,3
animal fries,grilled chicken angara boneless breast,3
bone in jamaican grilled chicken,grilled chicken angara boneless breast,3
salted fries,tripple cheese pizza,3
salted fries,spinach sumac pide,3
salted fries,tipsy tiger fresh lime soda,3
bone in angara grilled chicken,peri peri fries,3
bone in angara grilled chicken,grilled chicken angara tenders + salted fries,3
bone in angara grilled chicken,grilled chicken smoky bbq tangdi,3
bone in angara grilled chicken,grilled chicken ghostbuster tangdi,3
bone in angara grilled chicken,salted fries,3
bone in angara grilled chicken,kabuli grilled paneer (8 pcs),3
bone in angara grilled chicken,tipsy tiger ginger ale,3
bone in jamaican grilled chicken,honey mustard sauce,3
bone in jamaican grilled chicken,raw masala lemon shikanji,3
loaded korean grilled chicken pizza,murgh amritsari seekh pide,3
animal fries,raw masala lemon shikanji,3
loaded korean grilled chicken pizza,murgh amritsari seekh melt,3
fried chicken ghostbuster tender,tipsy tiger ginger ale,3
loaded korean grilled chicken pizza,pepperoni garlic bread,3
angara rice,tipsy tiger fresh lime soda,3
angara rice,grilled chicken jamaican tangdi,3
angara rice,grilled chicken smoky bbq tangdi,3
angara rice,grilled chicken peri peri tangdi,3
loaded jamaican grilled chicken pizza,loaded korean grilled chicken pizza,3
bone in smoky bbq grilled chicken,onion bombs,3
bone in smoky bbq grilled chicken,grilled chicken tangdi jamaican + salted krispers,3
loaded jamaican grilled chicken pizza,onion rings,3
bone in smoky bbq grilled chicken,salted fries ,3
bone in smoky bbq grilled chicken,coleslaw,3
animal fries,tipsy tiger ginger ale,3
animal fries,grilled chicken ghostbuster tangdi,3
animal fries,grilled chicken tangdi jamaican + salted krispers,3
animal fries,bone in jamaican grilled chicken ,3
grilled chicken jamaican tangdi,peri peri fries,3
bone in jamaican grilled chicken,fried chicken classic tenders + aac signature fries,3
jamaican sauce,salted fries,3
aac signature fries,bone in peri peri grilled chicken,3
aac signature fries,jamaican sauce,3
fried chicken peri peri tenders + peri peri fries,grilled chicken jamaican tender,3
angara aloo tuk tuki,fried chicken angara tender,3
harissa mayo,onion rings,3
angara aloo tuk tuki,bone in peri peri grilled chicken,3
harissa mayo,malai gud pide,3
angara aloo tuk tuki,fried chicken peri peri tender,3
harissa mayo,murgh amritsari seekh pizza,3
harissa mayo,peri peri paneer pizza,3
harissa mayo,indian salsa,3
grilled chicken smoky bbq tender,india dynamite sauce,3
grilled chicken smoky bbq tender,onion rings,3
grilled chicken smoky bbq tender,salted fries ,3
fried chicken ghostbuster tender,grilled chicken angara tangdi,3
fried chicken ghostbuster tender,peri peri crisper fries,3
cheesy veg burger,dirty saucy fries,3
harissa mayo,makhani paneer pizza,3
fried chicken peri peri tenders + peri peri fries,grilled chicken angara tenders + salted fries,3
harissa mayo,peri peri fries,3
dynamite sauce,fried chicken peri peri tender,3
aac signature fries,grilled chicken smoky bbq tangdi,3
aac signature fries,grilled chicken ghostbuster tangdi,3
aac signature fries,bone in angara grilled chicken,3
aac signature fries,salted crisper fries,3
aac signature fries,salted fries,3
bone in peri peri grilled chicken,grilled chicken jamaican tangdi,3
bone in peri peri grilled chicken,jamaican sauce,3
grilled chicken peri peri tender,indian pico de-gallo,3
bone in peri peri grilled chicken,peri peri crisper fries,3
bone in peri peri grilled chicken,grilled chicken tangdi jamaican + salted krispers,3
fried chicken ghostbuster tender,mayonnaise,3
grilled chicken tangdi,just pepperoni pide,3
grilled chicken peri peri tender,tipsy tiger fresh lime soda,3
grilled chicken peri peri tender,kabuli grilled paneer (8 pcs),3
bone in jamaican grilled chicken quarter + angara rice,indian salsa,3
angara rice,fried chicken classic tender,3
bageecha pizza,chocolate walnut brownie,3
mushroom pizza,peri peri paneer melt,3
bageecha pizza,loaded pork pepperoni pizza,3
chilli cheese garlic bread,harissa mayo,3
mushroom pizza,raw masala lemon shikanji,3
grilled chicken tangdi,makhani paneer pizza,3
grilled chicken jamaican tender,mayonnaise,3
chilli cheese garlic bread,grilled chicken tangdi,3
mushroom pizza,salted crisper fries,3
indian masala fries,masala paneer pide,3
coleslaw,grilled chicken jamaican tender,3
indian masala fries,peri peri grilled chicken pizza,3
indian masala fries,peri peri chicken melt,3
herbed potato,salted fries,3
harisa mayo,spinach sumac pide,3
all about chicken pizza,raw masala lemon shikanji,3
grilled chicken jamaican tender,india dynamite sauce,3
indian masala fries,tipsy tiger fresh lime soda,3
indian masala fries,murgh amritsari seekh melt,3
all about chicken pizza,indian salsa,3
indian masala fries,onion rings,3
all about chicken pizza,indian pico de-gallo,3
grilled chicken tangdi,margherita pizza,3
all about chicken pizza,iced green tea - mojito,3
grilled chicken angara tangdi,salted fries,3
grilled chicken tangdi,peri peri crisper fries,3
grilled chicken tangdi,mutton seekh pide,3
grilled chicken tangdi,salted fries,3
herbed potato,mayonnaise,3
grilled chicken peri peri tangdi,salted crisper fries,3
bageecha pizza,crushed papad,3
grilled chicken peri peri tangdi,onion rings,3
grilled chicken tangdi,mutton seekh pizza,3
chilli cheese garlic bread,indian pico de-gallo,3
all about chicken pizza,loaded pork pepperoni pizza,3
all about chicken pizza,loaded korean grilled chicken pizza,3
ghostbuster sauce,grilled chicken jamaican tender,3
ghostbuster sauce,smoky bbq sauce,3
harisa mayo,peri peri fries,3
ghostbuster sauce,peri peri sauce,3
bone in peri peri grilled chicken,tipsy tiger fresh lime soda,2
angara paneer melt,mushroom pizza,2
angara paneer melt,indian salsa,2
aac grilled chicken burger,angara sauce,2
aac signature fries,cafreal dip,2
aac grilled chicken burger,kabuli grilled paneer (8 pcs),2
bone in peri peri grilled chicken,fried chicken peri peri tenders + peri peri fries,2
grilled chicken tangdi,mushroom pizza,2
aac grilled chicken burger,grilled chicken peri peri tangdi,2
angara paneer melt,desi chicken pepperoni pizza,2
animal fries ,grilled chicken smoky bbq tender,2
bellpepper onion pizza,raw masala lemon shikanji,2
fried chicken ghostbuster tender,grilled chicken peri peri tangdi,2
aac grilled chicken burger,raw masala lemon shikanji,2
animal fries ,bone in jamaican grilled chicken,2
dynamite sauce,garlic aioli,2
aac grilled chicken burger,fried chicken classic tenders + aac signature fries,2
bellpepper onion pizza,indian salsa,2
aac grilled chicken burger,aac signature crisper fries,2
masala paneer pide,peri peri chicken melt,2
aac grilled chicken burger,onion rings,2
bellpepper onion pizza,pepperoni garlic bread,2
grilled chicken tangdi,peri peri paneer pizza,2
animal fries ,cafreal dip,2
bageecha pizza,masala omelette pide,2
angara paneer melt,just pepperoni pide,2
all about chicken pizza,iced green tea - peach,2
angara paneer melt,mutton seekh pizza,2
dynamite sauce,harissa mayo,2
aac grilled chicken burger,iced green tea - peach,2
bone in jamaican grilled chicken,iced green tea - peach,2
aac signature fries,grilled chicken peri peri tender,2
aac grilled chicken burger,aac saucy fries,2
aac signature fries,angara rice,2
aac grilled chicken burger,ghostbuster sauce,2
dynamite sauce,ghostbuster sauce,2
loaded korean grilled chicken pizza,murgh amritsari garlic bread,2
grilled chicken tangdi,pepperoni garlic bread,2
aac grilled chicken burger,tipsy tiger fresh lime soda,2
aac grilled chicken burger,angara grilled paneer (8 pcs),2
aac signature fries,grilled chicken smoky bbq boneless breast,2
fried chicken ghostbuster tender,smoky bbq sauce,2
aac grilled paneer burger,fried chicken angara tender,2
aac signature fries,onion bombs,2
bone in peri peri grilled chicken,indian pico de-gallo,2
all about chicken pizza,harissa mayo,2
bone in peri peri grilled chicken,peri peri sauce,2
aac signature fries,grilled chicken angara tangdi,2
aac signature fries,grilled chicken peri peri tangdi,2
bone in peri peri grilled chicken,onion rings,2
bone in peri peri grilled chicken,mayonnaise,2
grilled chicken peri peri tender,tipsy tiger ginger ale,2
fried chicken peri peri tender,tipsy tiger ginger ale,2
grilled chicken peri peri tender,jamaican sauce,2
malai gud pide,peri peri chicken melt,2
fried chicken peri peri tender,kabuli grilled paneer (8 pcs),2
makhani paneer pizza,mayonnaise,2
fried chicken ghostbuster tender,indian pico de-gallo,2
animal fries ,garlic aioli,2
desi pepperoni pizza,mutton seekh pide,2
chilli cheese garlic bread,crushed papad,2
fried chicken peri peri tender,indian pico de-gallo,2
salted crisper fries,smoky bbq sauce,2
indian salsa,peanut butter chocolate pide,2
chilli cheese garlic bread,indian salsa,2
aac grilled paneer burger,indian pico de-gallo,2
fried chicken ghostbuster tender,salted crisper fries,2
indian honey mustard sauce,indian pico de-gallo,2
aac grilled paneer burger,ghostbuster sauce,2
chilli cheese garlic bread,loaded pork pepperoni pizza,2
fried chicken peri peri tender ,harisa mayo,2
cheesy veg burger,grilled paneer burger,2
fried chicken peri peri tender,peri peri krispers,2
desi pepperoni pizza,makhani paneer pizza,2
mutton smashed burger,peri peri fries,2
angara grilled paneer (8 pcs),peri peri crisper fries,2
aac signature crisper fries,bone in angara grilled chicken,2
desi pepperoni pizza,tipsy tiger ginger ale,2
fried mushroom burger,grilled paneer burger,2
fried chicken peri peri tender,mayonnaise,2
desi pepperoni pizza,harisa mayo,2
desi pepperoni pizza,fried chicken strips,2
fried chicken ghostbuster tender,grilled chicken smoky bbq tangdi,2
aac signature crisper fries,grilled chicken smoky bbq tender,2
desi pepperoni pizza,herbed potato,2
kabuli grilled paneer (8 pcs),tipsy tiger fresh lime soda,2
desi pepperoni pizza,peanut butter chocolate pide,2
fried chicken peri peri tender,india dynamite sauce,2
herbed potato,masala omelette pide,2
indian honey mustard sauce,onion rings,2
grilled chicken peri peri tender,india dynamite sauce,2
grilled chicken smoky bbq tender,peri peri fries,2
aac grilled chicken burger,smoky bbq sauce,2
bellpepper onion pizza,indian masala fries,2
fried chicken ghostbuster tender,peri peri fries ,2
harissa mayo,mayonnaise,2
fried chicken peri peri tenders + peri peri fries,grilled chicken smoky bbq tender,2
harissa mayo,indian masala fries,2
harissa mayo,pepperoni garlic bread,2
grilled chicken angara tenders + salted fries,grilled chicken tangdi jamaican + salted krispers,2
grilled chicken peri peri tender,iced green tea - peach,2
aac grilled chicken burger,jamaican sauce,2
harissa mayo,tripple cheese pizza,2
grilled chicken peri peri tender,mayonnaise,2
grilled chicken peri peri tender,salted crisper fries,2
grilled chicken peri peri tender,peri peri sauce,2
all about chicken pizza,crushed papad,2
fried chicken peri peri tenders + peri peri fries,salted fries,2
fried chicken peri peri tenders + peri peri fries,grilled chicken tangdi jamaican + salted krispers,2
bellpepper onion pizza,grilled tangdis,2
herbed potato,kabuli grilled paneer (8 pcs),2
harissa mayo,herbed potato,2
malai gud pide,tipsy tiger ginger ale,2
angara aloo tuk tuki,tipsy tiger fresh lime soda,2
indian honey mustard sauce,smoky bbq sauce,2
malai gud pide,raw masala lemon shikanji,2
angara aloo tuk tuki,grilled chicken jamaican tangdi,2
harissa mayo,jamaican chicken melt,2
all about chicken pizza,harisa mayo,2
grilled chicken tangdi,murgh amritsari seekh melt,2
herbed potato,raw masala lemon shikanji,2
aac grilled paneer burger,kabuli grilled paneer (8 pcs),2
peri peri paneer pizza,salted crisper fries,2
herbed potato,mutton smashed burger,2
harissa mayo,loaded jamaican grilled chicken pizza,2
bellpepper onion pizza,harisa mayo,2
chicken smashed burger,mutton smashed burger,2
jamaican sauce,smoky bbq sauce,2
dynamite sauce,salted fries,2
bone in smoky bbq grilled chicken,tipsy tiger fresh lime soda,2
grilled chicken jamaican boneless breast,grilled chicken jamaican tender,2
bacon pepperoni melt,spinach sumac pide,2
bone in smoky bbq grilled chicken,fried chicken classic tender ,2
bacon pepperoni melt,peanut butter chocolate pide,2
grilled chicken jamaican tangdi,raw masala lemon shikanji,2
bacon pepperoni melt,murgh amritsari seekh pide,2
mushroom pizza,mutton seekh pide,2
atomic veg burger,dirty saucy chicken loaded fries,2
bacon pepperoni melt,loaded korean grilled chicken pizza,2
atomic veg burger,chicken smashed burger,2
cafreal sauce,desi chicken pepperoni pizza,2
atomic veg burger,grilled paneer burger,2
atomic veg burger,indian salsa,2
atomic veg burger,dirty saucy fries,2
bone in smoky bbq grilled chicken,cafreal dip,2
atomic veg burger,cheesy veg burger,2
cafreal sauce,fried chicken strips,2
animal fries,peri peri fries,2
indian masala fries,salted fries,2
indian masala fries,just pepperoni pide,2
cafreal sauce,salted crisper fries,2
animal fries,peri peri sauce,2
bacon pepperoni melt,grilled tangdis,2
grilled chicken tangdi,murgh amritsari seekh pide,2
animal fries,grilled chicken smoky bbq tangdi,2
bone in smoky bbq grilled chicken,honey mustard sauce,2
animal fries,cafreal dip,2
bone in smoky bbq grilled chicken,grilled chicken afghani boneless breast,2
grilled chicken jamaican boneless breast,herbed potato,2
bacon pepperoni melt,margherita pizza,2
grilled chicken tangdi,harissa mayo,2
bone in smoky bbq grilled chicken,indian salsa,2
grilled chicken jamaican tangdi,kabuli grilled paneer (8 pcs),2
mushroom pizza,tipsy tiger ginger ale,2
mushroom pizza,peanut butter chocolate pide,2
desi chicken pepperoni pizza,murgh amritsari seekh melt,2
desi chicken pepperoni pizza,harisa mayo,2
desi chicken pepperoni pizza,garlic aioli,2
loaded pork pepperoni pizza,salted fries,2
jamaican chicken melt,masala omelette pide,2
angara rice,onion rings,2
loaded pork pepperoni pizza,murgh amritsari seekh pizza,2
angara rice,grilled chicken angara tangdi,2
angara rice,fried chicken beast aac burger,2
jamaican chicken melt,mayonnaise,2
loaded pork pepperoni pizza,margherita pizza,2
desi chicken pepperoni pizza,tipsy tiger fresh lime soda,2
desi chicken pepperoni pizza,iced green tea - mojito,2
