antecedent,consequent,support,confidence,lift,count
mushroom pizza,chilli cheese garlic bread,0.00222422033978515,0.11084905660377359,1.359461065057655,47
indian masala fries,bageecha pizza,0.0013723912734844542,0.19863013698630136,1.3587741743792598,29
peri peri paneer pizza,chilli cheese garlic bread,0.0037859069613364253,0.10973936899862825,1.345851773830536,80
mutton seekh pizza,all about chicken pizza,0.0012304197624343383,0.10196078431372549,1.3283189478010686,26
cheesy garlic bread,bageecha pizza,0.009938005773508117,0.18340611353711792,1.2546308142288243,210
salted crisper fries,bageecha pizza,0.001656334295584686,0.16203703703703703,1.1084508351018547,35
indian masala cripser fries,bageecha pizza,0.0013723912734844542,0.15760869565217395,1.0781577688009347,29
tipsy tiger fresh lime soda,bageecha pizza,0.001656334295584686,0.15418502202643172,1.054737358511016,35
peri peri grilled chicken pizza,bageecha pizza,0.0026974587099522027,0.14004914004914004,0.9580376750982124,57
masala paneer pide,bageecha pizza,0.004401116842553595,0.13901345291479822,0.9509528240668829,93
all about chicken pizza,bageecha pizza,0.01050589181770858,0.13686806411837238,0.9362768089625532,222
onion rings,bageecha pizza,0.0018456296436515072,0.1368421052631579,0.9360992315687243,39
chicken pepperoni pizza,bageecha pizza,0.0016090104585679806,0.125,0.8550906442214309,34
peri peri crisper fries,bageecha pizza,0.002839430221002319,0.11928429423459244,0.8159910720204508,60
margherita pizza,bageecha pizza,0.007382518574606029,0.11809235427706283,0.8078373383711928,156
tripple cheese pizza,bageecha pizza,0.004874355212720647,0.11393805309734513,0.7794189057947555,103
mushroom mozzarella melt,bageecha pizza,0.0027447825469689084,0.11005692599620494,0.7528691820090018,58
og cheese pide,bageecha pizza,0.0012777435994510435,0.10384615384615385,0.7103829967378041,27
bellpepper onion pizza,bageecha pizza,0.0014670389475178647,0.10333333333333333,0.7068749325563828,31
peri peri fries,bageecha pizza,0.0013723912734844542,0.10034602076124567,0.6864395483023251,29
