order_id,items
6138727282,"Bone in Smoky Bbq Grilled Chicken, Bone in Jamaican Grilled Chicken"
6141878957,"Fried Chicken Peri Peri Tenders + Peri Peri Fries, Bone in Angara Grilled Chicken"
6128060895,Bone in Kabuli Grilled Chicken
6161928381,Grilled Chicken Smoky BBQ Tender
6168218078,"Bone in Peri Peri Grilled Chicken, Bone in Jamaican Grilled Chicken"
6168427326,Bone in Angara Grilled Chicken
6169424336,Grilled Chicken Tangdi Jamaican + Salted Krispers
6167121590,Grilled Chicken Jamaican Tender
6167995589,Bone in Jamaican Grilled Chicken Quarter + Angara Rice
6165031782,Bone in Jamaican Grilled Chicken
6169113831,"Fried Chicken Angara Tender, Angara Rice, Onion Bombs, Angara Aloo Tuk Tuki"
6168717281,"AAC Saucy Fries, Grilled Chicken Peri Peri Tender, Fried Chicken Peri Peri Tender"
6169142809,AAC Saucy Fries
6168242254,Grilled Chicken Angara Tender
6167707628,Animal Fries
6167358098,Fried Chicken Angara Tender
6168418159,Bone in Jamaican Grilled Chicken Quarter + Angara Rice
6167150125,Bone in Jamaican Grilled Chicken
6165976485,Bone in Smoky Bbq Grilled Chicken
6167194990,Fried Chicken Angara Tender
6148368487,"Fried Chicken Kabuli Tender, Peri Peri Fries"
6165289639,Bone in Jamaican Grilled Chicken
6168262742,Grilled Chicken Smoky BBQ Tender
6162561202,Grilled Chicken Smoky BBQ Tender
6149764916,"Fried Chicken Kabuli Tender, Fried Chicken Angara Tender, AAC Signature Krispers, Animal Fries"
6165679122,"Angara Aloo Tuk Tuki, Angara Rice, Bone in Jamaican Grilled Chicken"
6164186421,Bone in Peri Peri Grilled Chicken
6157202737,Animal Fries
6163180170,"Angara Rice, Bone in Jamaican Grilled Chicken"
6167023350,Bone in Jamaican Grilled Chicken
6167158612,Fried Chicken Angara Tender
6165776762,Bone in Peri Peri Grilled Chicken
6161605451,Animal Fries
6159736208,"Bone in Jamaican Grilled Chicken Quarter + Angara Rice, Grilled Chicken Tangdi Jamaican + Salted Krispers"
6166770303,"Bone in Peri Peri Grilled Chicken, Bone in Jamaican Grilled Chicken"
6166273550,Bone in Jamaican Grilled Chicken
6142641525,Grilled Chicken Smoky BBQ Tender
6163750079,"Bone in Peri Peri Grilled Chicken, Bone in Jamaican Grilled Chicken"
6160868660,Peri Peri Krispers
6165316229,"Fried Chicken Peri Peri Tender, Peri Peri Fries"
6159382905,Bone in Jamaican Grilled Chicken
6162695816,"Bone in Peri Peri Grilled Chicken, GhostBuster Sauce, Bone in Smoky Bbq Grilled Chicken, Bone in Jamaican Grilled Chicken"
6154115588,Bone in Jamaican Grilled Chicken
6153386475,Fried Chicken Angara Tender
6162915327,Animal Fries
6159638533,"Bone in Peri Peri Grilled Chicken, Bone in Jamaican Grilled Chicken"
6163915549,Peri Peri Fries
6160788109,Bone in Smoky Bbq Grilled Chicken
6162423875,"Bone in Peri Peri Grilled Chicken, Grilled Chicken Angara Tender, Peri Peri Fries"
6161067038,"Grilled Chicken Smoky BBQ Tender, Bone in Jamaican Grilled Chicken, Fried Chicken Classic Tender"
6162446959,Animal Fries
6160103241,Fried Chicken Angara Tender
6158591577,"Grilled Chicken Angara Tangdi, Animal Fries, Bone in Jamaican Grilled Chicken, Bone in Peri Peri Grilled Chicken"
6155721914,Animal Fries
6162040119,"Animal Fries, Fried Chicken Angara Tender, AAC Signature Fries, Cafreal dip"
6144261438,Fried Chicken Classic Tender
6152997315,Fried Chicken Peri Peri Tender
6158705130,"Grilled Chicken Jamaican Tangdi, Bone in Kabuli Grilled Chicken"
6160482511,Grilled Chicken Angara Tender
6160993882,Grilled Chicken Angara Tender
6160358854,Grilled Chicken Jamaican Tender
6156507401,Fried Chicken Kabuli Tender
6151424970,Animal Fries
6157309260,"Grilled Chicken Jamaican Tender, Fried Chicken Peri Peri Tender"
6158100757,Fried Chicken Angara Tender
6156545935,Bone in Jamaican Grilled Chicken
6156465093,Bone in Angara Grilled Chicken
6144397966,"Grilled Chicken Jamaican Tender, Fried Chicken Classic Tender"
6157693936,"Grilled Chicken Smoky BBQ Tender, Bone in Angara Grilled Chicken, Bone in Jamaican Grilled Chicken"
6157486866,Grilled Chicken Smoky BBQ Tender
6157315556,Bone in Peri Peri Grilled Chicken
6153404089,"Bone in Peri Peri Grilled Chicken, Salted Fries"
6154856104,Animal Fries
6152814011,AAC Saucy Fries
6154639790,Onion Bombs
6156022422,Animal Fries
6145345927,Grilled Chicken Smoky BBQ Tender
6147864880,Bone in Jamaican Grilled Chicken
6154044874,Bone in Jamaican Grilled Chicken
6151738129,"AAC Signature Fries, Jamaican Sauce"
6153393480,Fried Chicken Peri Peri Tender
6138643839,Grilled Chicken Jamaican Tender
6150251716,Fried Chicken Peri Peri Tender
6149014724,Fried Chicken Peri Peri Tenders + Peri Peri Fries
6150892954,"Harisa Mayo, Bone in Kabuli Grilled Chicken"
6149657004,Grilled Chicken Peri Peri Tender
6152105277,"Grilled Chicken Jamaican Tender, Bone in Kabuli Grilled Chicken"
6150970356,Bone in Jamaican Grilled Chicken
6144728572,"Bone in Peri Peri Grilled Chicken, Grilled Chicken Peri Peri Tangdi"
6151166642,"Bone in Peri Peri Grilled Chicken, Fried Chicken Peri Peri Tender"
6149092297,"Bone in Angara Grilled Chicken, Bone in Jamaican Grilled Chicken"
6149205040,"Animal Fries, Grilled Chicken Angara Tangdi"
6144522087,"Bone in Peri Peri Grilled Chicken, Grilled Chicken Jamaican Tender"
6153049929,"Garlic Aioli, Cafreal dip, Bone in Jamaican Grilled Chicken, Bone in Peri Peri Grilled Chicken"
6151789684,"Fried Chicken Peri Peri Tenders + Peri Peri Fries, Bone in Jamaican Grilled Chicken Quarter + Angara Rice, Fried Chicken Angara Tender, Onion Bombs, Salted Krispers"
6151068357,"Onion Bombs, Fried Chicken Peri Peri Tender"
6147645546,"Animal Fries, Bone in Peri Peri Grilled Chicken"
6151110701,"Grilled Chicken Jamaican Tangdi, Bone in Jamaican Grilled Chicken"
6151479415,"Animal Fries, Grilled Chicken Peri Peri Tangdi"
6144995554,"Grilled Chicken Jamaican Tender, AAC Signature Krispers, Angara Rice, Grilled Chicken Peri Peri Tender"
6132905833,"Bone in Jamaican Grilled Chicken, Fried Chicken Peri Peri Tender"
6150606006,Bone in Peri Peri Grilled Chicken
6150826612,"Bone in Angara Grilled Chicken, Bone in Jamaican Grilled Chicken"
6152991085,"Bone in Angara Grilled Chicken, Grilled Chicken Tangdi Jamaican + Salted Krispers"
6149395754,"Garlic Aioli, Bone in Jamaican Grilled Chicken, Bone in Kabuli Grilled Chicken"
6150484698,"Grilled Chicken Smoky BBQ Tender, Bone in Jamaican Grilled Chicken"
6152492022,Grilled Chicken Angara Tender
6152031764,"Bone in Peri Peri Grilled Chicken, Fried Chicken Classic Tender"
6151411937,"Bone in Angara Grilled Chicken, Bone in Jamaican Grilled Chicken"
6152103927,"Animal Fries, Grilled Chicken Jamaican Tender, Fried Chicken Angara Tender, Kabuli Grilled Paneer (8 pcs), AAC Saucy Fries, Fried Chicken Peri Peri Tender"
6145211525,"Bone in Peri Peri Grilled Chicken, Bone in Angara Grilled Chicken, Bone in Smoky Bbq Grilled Chicken, Bone in Jamaican Grilled Chicken"
6151905669,Grilled Chicken Jamaican Tender
6147752319,"Bone in Jamaican Grilled Chicken, Bone in Kabuli Grilled Chicken"
6151615623,"Grilled Chicken Smoky BBQ Tender, Grilled Chicken Jamaican Tender"
6152099460,"Grilled Chicken Smoky BBQ Tender, Grilled Chicken Peri Peri Tangdi"
6152129793,"AAC Saucy Fries, Angara Grilled Paneer (8 pcs)"
6148497668,"Bone in Jamaican Grilled Chicken, Fried Chicken Classic Tender"
6151075924,"Animal Fries, Harisa Mayo, Bone in Jamaican Grilled Chicken"
6141955190,"Bone in Angara Grilled Chicken, Fried Chicken Classic Tender"
6144240421,"Grilled Chicken Smoky BBQ Tender, Grilled Chicken Jamaican Tender, AAC Special Slaw, Salted Fries"
6149580829,"Bone in Angara Grilled Chicken, Bone in Jamaican Grilled Chicken"
6148946223,"Animal Fries, Grilled Chicken Jamaican Tender, Grilled Chicken Smoky BBQ Tangdi, Fried Chicken Ghostbuster Tender, Bone in Jamaican Grilled Chicken, Bone in Kabuli Grilled Chicken, Grilled Chicken Angara Tender, Fried Chicken Peri Peri Tender"
6149660907,"Bone in Angara Grilled Chicken, Bone in Jamaican Grilled Chicken"
6143011766,Bone in Smoky Bbq Grilled Chicken
6142542206,"Fried Chicken Angara Tender, Fried Chicken Peri Peri Tender"
6143031049,"Garlic Aioli, Grilled Chicken Peri Peri Tangdi, AAC Signature Fries"
6137759430,"Fried Chicken Ghostbuster Tender, Bone in Jamaican Grilled Chicken"
6151542918,Bone in Jamaican Grilled Chicken
6148032286,"Animal Fries, Fried Chicken Angara Tender"
6151184755,"Bone in Peri Peri Grilled Chicken, Bone in Jamaican Grilled Chicken"
6151212614,"Bone in Smoky Bbq Grilled Chicken, Bone in Jamaican Grilled Chicken"
6150530192,"Salted Krispers, Grilled Chicken Angara Tender, Grilled Chicken Jamaican Tender, Angara Aloo Tuk Tuki"
6147280588,"Bone in Peri Peri Grilled Chicken, Bone in Jamaican Grilled Chicken"
6129754839,"Fried Chicken Angara Tender, Bone in Kabuli Grilled Chicken"
6150206967,Bone in Smoky Bbq Grilled Chicken
6144748788,"Bone in Peri Peri Grilled Chicken, Bone in Jamaican Grilled Chicken"
6143383996,Bone in Smoky Bbq Grilled Chicken
6147356060,Grilled Chicken Smoky BBQ Tender
6139066441,Fried Chicken Peri Peri Tender
6149292474,"Bone in Peri Peri Grilled Chicken, Angara Aloo Tuk Tuki, Onion Bombs"
6147153950,"Bone in Peri Peri Grilled Chicken, Grilled Chicken Jamaican Tender, Grilled Chicken Ghostbuster Tangdi, Grilled Chicken Angara Tender"
6144644656,Grilled Chicken Smoky BBQ Tangdi
6147135501,Bone in Jamaican Grilled Chicken
6145082908,"Angara Rice, AAC Special Slaw"
6138922698,Bone in Jamaican Grilled Chicken
6148352067,Bone in Jamaican Grilled Chicken
6148109643,Grilled Chicken Angara Tender
6146307177,Fried Chicken Peri Peri Tenders + Peri Peri Fries
6147558212,"Bone in Jamaican Grilled Chicken, Bone in Kabuli Grilled Chicken"
6147098530,Animal Fries
6145603662,Grilled Chicken Jamaican Tender
6145559363,Animal Fries
6146040255,"Animal Fries, Fried Chicken Angara Tender, AAC Signature Krispers"
6141867628,Bone in Peri Peri Grilled Chicken
6142740721,Grilled Chicken Jamaican Tender
6144695178,Bone in Jamaican Grilled Chicken
6144219290,"Bone in Peri Peri Grilled Chicken, Grilled Chicken Jamaican Tangdi"
6147231368,"Grilled Chicken Jamaican Tender, Salted Fries"
6141422662,Bone in Angara Grilled Chicken
6143080225,Animal Fries
6143624024,Bone in Jamaican Grilled Chicken
6136204115,Bone in Jamaican Grilled Chicken
6131947787,"Onion Bombs, Fried Chicken Peri Peri Tender"
6124801607,"Grilled Chicken Angara Tender, Peri Peri Krispers, Fried Chicken Peri Peri Tender"
6144790441,Bone in Jamaican Grilled Chicken
6130866834,"Grilled Chicken Angara Tender, Bone in Jamaican Grilled Chicken"
6134999782,Bone in Jamaican Grilled Chicken
6143338997,Fried Chicken Classic Tender
6139838375,"Bone in Peri Peri Grilled Chicken, Bone in Jamaican Grilled Chicken"
6139795100,Grilled Chicken Jamaican Tender
6143057628,"Bone in Peri Peri Grilled Chicken, Grilled Chicken Jamaican Tender"
6139878163,"Salted Krispers, Fried Chicken Angara Tender, Fried Chicken Classic Tender"
6135961731,"Grilled Chicken Jamaican Tender, AAC Signature Krispers, Grilled Chicken Smoky BBQ Tangdi"
6128955784,"Tipsy Tiger Ginger Ale, Indian Pico De-Gallo, Bone in Jamaican Grilled Chicken"
6138152630,Grilled Chicken Peri Peri Tangdi
6141450696,AAC Saucy Fries
6168736994,"Herbed Potato, Chilli Cheese Garlic Bread"
6170903653,Bageecha Pizza
6170009130,Cheesy Garlic Bread
6170168184,"Chilli Cheese Garlic Bread, All About Chicken Pizza, Bageecha Pizza"
6151451438,All About Chicken Pizza
6159343792,Masala Paneer Pide
6170217857,Grilled Tangdis
6169828720,"Mushroom Pizza, Indian Masala Fries, Bageecha Pizza"
6158730663,Murgh Amritsari Garlic Bread
6168584321,"Murgh Amritsari Seekh Melt, Jamaican Chicken Melt"
6161290353,Peri Peri Paneer Pizza
6169133439,Chilli Cheese Garlic Bread
6160640802,"Chilli Cheese Garlic Bread, Indian Masala Fries"
6169062392,Bageecha Pizza
6161292989,All About Chicken Pizza
6163530459,"Chilli Cheese Garlic Bread, Masala Paneer Pide"
6165257699,Margherita Pizza
6158682689,Jamaican Chicken Melt
6168111876,"Makhani Paneer Pizza, Tripple Cheese Pizza"
6152764316,Murgh Amritsari Seekh Pide
6164225680,Mushroom Pizza
6166222213,Tripple Cheese Pizza
6167929031,Masala Paneer Pide
6167293645,Makhani Paneer Pizza
6167708795,Murgh Amritsari Garlic Bread
6164335141,"All About Chicken Pizza, Fried Chicken Strips, Peri Peri Fries"
6162702576,"Cheesy Garlic Bread, All About Chicken Pizza, Jamaican Chicken Melt"
6158234196,"Murgh Amritsari Seekh Pizza, Bageecha Pizza"
6164968885,"All About Chicken Pizza, Bageecha Pizza"
6162225866,Masala Paneer Pide
6163713945,"Chilli Cheese Garlic Bread, Fried Chicken Strips"
6165158289,Makhani Paneer Pizza
6164234926,"Iced Green Tea - Peach, Murgh Amritsari Seekh Pide"
6161935858,Herbed Potato
6165088077,Grilled Tangdis
6162143361,"Tripple Cheese Pizza, Salted Fries"
6159787348,Murgh Amritsari Seekh Pizza
6163786461,Chilli Cheese Garlic Bread
6152361356,"Cheesy Garlic Bread, Herbed Potato, Tipsy Tiger Fresh Lime Soda"
6163435728,Jamaican Chicken Melt
6165628053,Chilli Cheese Garlic Bread
6163731946,"Tipsy Tiger Ginger Ale, Jamaican Chicken Melt"
6150192890,Murgh Amritsari Seekh Melt
6163537755,"Makhani Paneer Pizza, Chilli Cheese Garlic Bread"
6162421877,Murgh Amritsari Garlic Bread
6159609490,Mushroom Pizza
6153398838,"Peri Peri Paneer Melt, Peri Peri Fries"
6153743517,"Herbed Potato, Bageecha Pizza"
6164932139,"Chicken Pepperoni Pizza, Murgh Amritsari Garlic Bread, Peri Peri Fries"
6157234824,"Makhani Paneer Pizza, Chilli Cheese Garlic Bread"
6163072697,Just Pepperoni Pizza
6162500077,"Murgh Amritsari Seekh Pizza, Indian Pico De-Gallo, Margherita Pizza"
6161120321,Makhani Paneer Pizza
6161838041,Chilli Cheese Garlic Bread
6163568531,Murgh Amritsari Garlic Bread
6164360070,"Herbed Potato, Bageecha Pizza"
6163932883,"Salted Fries, OG Cheese Pide"
6162114647,Cheesy Garlic Bread
6157982087,Mushroom Mozzarella Melt
6161349041,Peri Peri Grilled Chicken Pizza
6162130162,"Chilli Cheese Garlic Bread, Peri Peri Fries"
6159844875,"Mushroom Pizza, Masala Potato Pide, Bageecha Pizza"
6160912592,All About Chicken Pizza
6158003495,Bellpepper Onion Pizza
6156009900,Chilli Cheese Garlic Bread
6162378187,All About Chicken Pizza
6156049391,Murgh Amritsari Seekh Pizza
6157747165,"Garlic Aioli, Harisa Mayo, Cheesy Garlic Bread, Margherita Pizza, Peri Peri Chicken Melt, Murgh Amritsari Seekh Melt"
6139963784,"Harisa Mayo, Jamaican Chicken Melt"
6143626220,All About Chicken Pizza
6158748811,Chilli Cheese Garlic Bread
6161077783,"Herbed Potato, Bageecha Pizza"
